Category,Variable,Measure,Value,Group
case of NMSC in 2006,0,50-54,34.0602974,Female
pop,191701,50-54,2323058,Female
case of NMSC in 2007,0,50-54,42.976573,Female
pop,204918,50-54,2739322,Female
case of NMSC in 2008,1.0040982,50-54,41.9116266,Female
pop,292891,50-54,3268616,Female
case of NMSC in 2009,0,50-54,43.1457312,Female
pop,486435,50-54,4552651,Female
case of NMSC in 2010,0,50-54,70.1108254,Female
pop,612356,50-54,5084474,Female
case of NMSC in 2011,0,50-54,74.2333204,Female
pop,882447,50-54,6699404,Female
case of NMSC in 2012,2.0296281,50-54,121.2592124,Female
pop,991430,50-54,7816449,Female
case of NMSC in 2013,0,50-54,120.3733146,Female
pop,1321862,50-54,10246073,Female
case of NMSC in 2014,0,50-54,185.4539213,Female
pop,1416150,50-54,11997873,Female
case of NMSC in 2015,0,50-54,218.3612886,Female
pop,1788641,50-54,14201829,Female
case of NMSC in 2016,3.9350102,50-54,309.5998722,Female
pop,2188292,50-54,16196844,Female
case of NMSC in 2017,3.0636088,50-54,359.5699368,Female
pop,2519946,50-54,19306199,Female
case of NMSC in 2018,3.0239352,50-54,415.0832785,Female
Incident of NMSC in 2005,0,55-59,2.63,Female
Incident of NMSC in 2006,0,55-59,2.96,Female
Incident of NMSC in 2007,0,55-59,2.52,Female
Incident of NMSC in 2008,0.49,55-59,3.34,Female
Incident of NMSC in 2009,0,55-59,2.63,Female
Incident of NMSC in 2010,0,55-59,2.8,Female
Incident of NMSC in 2011,0,55-59,3.01,Female
Incident of NMSC in 2012,0.23,55-59,3.25,Female
Incident of NMSC in 2013,0,55-59,2.8,Female
Incident of NMSC in 2014,0,55-59,2.23,Female
Incident of NMSC in 2015,0,55-59,2.81,Female
Incident of NMSC in 2016,0.22,55-59,2.46,Female
Incident of NMSC in 2017,0.14,55-59,2.38,Female
Incident of NMSC in 2018,0.12,55-59,2.69,Female
Incident of NMSC in 2018,0-,55-59,55-59,Female
pop,155305,55-59,1409502,Female
case of NMSC in 2005,0,55-59,37.0699026,Female
pop,174563,55-59,1588109,Female
case of NMSC in 2006,0,55-59,47.0080264,Female
pop,191701,55-59,1665629,Female
case of NMSC in 2007,0,55-59,41.9738508,Female
pop,204918,55-59,2066242,Female
case of NMSC in 2008,1.0040982,55-59,69.0124828,Female
pop,292891,55-59,2733907,Female
case of NMSC in 2009,0,55-59,71.9017541,Female
pop,486435,55-59,4084984,Female
case of NMSC in 2010,0,55-59,114.379552,Female
pop,612356,55-59,5008514,Female
case of NMSC in 2011,0,55-59,150.7562714,Female
pop,882447,55-59,6985878,Female
case of NMSC in 2012,2.0296281,55-59,227.041035,Female
pop,991430,55-59,8061197,Female
case of NMSC in 2013,0,55-59,225.713516,Female
pop,1321862,55-59,9861510,Female
case of NMSC in 2014,0,55-59,219.911673,Female
pop,1416150,55-59,10455327,Female
case of NMSC in 2015,0,55-59,293.7946887,Female
pop,1788641,55-59,12131389,Female
case of NMSC in 2016,3.9350102,55-59,298.4321694,Female
pop,2188292,55-59,13539831,Female
case of NMSC in 2017,3.0636088,55-59,322.2479778,Female
pop,2519946,55-59,16708862,Female
case of NMSC in 2018,3.0239352,55-59,449.4683878,Female
Incident of NMSC in 2005,0,60-64,3.44,Female
Incident of NMSC in 2006,0,60-64,4,Female
Incident of NMSC in 2007,0,60-64,4.32,Female
Incident of NMSC in 2008,0.49,60-64,4.12,Female
Incident of NMSC in 2009,0,60-64,3.84,Female
Incident of NMSC in 2010,0,60-64,3.95,Female
Incident of NMSC in 2011,0,60-64,4.09,Female
Incident of NMSC in 2012,0.23,60-64,4.18,Female
Incident of NMSC in 2013,0,60-64,3.78,Female
Incident of NMSC in 2014,0,60-64,4.42,Female
Incident of NMSC in 2015,0,60-64,4.32,Female
Incident of NMSC in 2016,0.22,60-64,4.36,Female
Incident of NMSC in 2017,0.14,60-64,4.28,Female
Incident of NMSC in 2018,0.12,60-64,4.7,Female
Incident of NMSC in 2018,0-,60-64,60-64,Female
pop,155305,60-64,1075480,Female
case of NMSC in 2005,0,60-64,36.996512,Female
pop,174563,60-64,1198855,Female
case of NMSC in 2006,0,60-64,47.9542,Female
pop,191701,60-64,1250034,Female
case of NMSC in 2007,0,60-64,54.0014688,Female
