Category,Variable,Measure,Value,Group
Incident of NMSC in 2013,0.09,55-59,3.12,Male
Incident of NMSC in 2014,0,55-59,3.68,Male
Incident of NMSC in 2015,0.06,55-59,3.35,Male
Incident of NMSC in 2016,0.2,55-59,3.05,Male
Incident of NMSC in 2017,0,55-59,2.74,Male
Incident of NMSC in 2018,0.07,55-59,3.19,Male
Incident of NMSC in 2018,0-,55-59,55-59,Male
pop,173406,55-59,1431317,Male
case of NMSC in 2005,0,55-59,47.9491195,Male
pop,192243,55-59,1607211,Male
case of NMSC in 2006,0.9996636,55-59,48.0556089,Male
pop,214585,55-59,1687358,Male
case of NMSC in 2007,0,55-59,62.9384534,Male
pop,230304,55-59,2078657,Male
case of NMSC in 2008,0,55-59,80.0282945,Male
pop,327151,55-59,2751754,Male
case of NMSC in 2009,1.0141681,55-59,80.0760414,Male
pop,553502,55-59,4126860,Male
case of NMSC in 2010,0,55-59,137.837124,Male
pop,684618,55-59,5024400,Male
case of NMSC in 2011,0,55-59,163.79544,Male
pop,994252,55-59,7069983,Male
case of NMSC in 2012,1.988504,55-59,227.6534526,Male
pop,1120183,55-59,8211309,Male
case of NMSC in 2013,1.0081647,55-59,256.1928408,Male
pop,1492182,55-59,10017016,Male
case of NMSC in 2014,0,55-59,368.6261888,Male
pop,1603833,55-59,10663349,Male
case of NMSC in 2015,0.9622998,55-59,357.2221915,Male
pop,2027078,55-59,12352675,Male
case of NMSC in 2016,4.054156,55-59,376.7565875,Male
pop,2465356,55-59,13778674,Male
case of NMSC in 2017,0,55-59,377.5356676,Male
pop,2831943,55-59,16963128,Male
case of NMSC in 2018,1.9823601,55-59,541.1237832,Male
Incident of NMSC in 2005,0,60-64,6,Male
Incident of NMSC in 2006,0.52,60-64,4.53,Male
Incident of NMSC in 2007,0,60-64,4.26,Male
Incident of NMSC in 2008,0,60-64,5.61,Male
Incident of NMSC in 2009,0.31,60-64,5,Male
Incident of NMSC in 2010,0,60-64,5.63,Male
Incident of NMSC in 2011,0,60-64,5.43,Male
Incident of NMSC in 2012,0.2,60-64,5.96,Male
Incident of NMSC in 2013,0.09,60-64,5.19,Male
Incident of NMSC in 2014,0,60-64,5.74,Male
Incident of NMSC in 2015,0.06,60-64,4.96,Male
Incident of NMSC in 2016,0.2,60-64,5.34,Male
Incident of NMSC in 2017,0,60-64,5.6,Male
Incident of NMSC in 2018,0.07,60-64,5.73,Male
Incident of NMSC in 2018,0-,60-64,60-64,Male
pop,173406,60-64,1033942,Male
case of NMSC in 2005,0,60-64,62.03652,Male
pop,192243,60-64,1170392,Male
case of NMSC in 2006,0.9996636,60-64,53.0187576,Male
pop,214585,60-64,1222016,Male
case of NMSC in 2007,0,60-64,52.0578816,Male
pop,230304,60-64,1479943,Male
case of NMSC in 2008,0,60-64,83.0248023,Male
pop,327151,60-64,1961417,Male
case of NMSC in 2009,1.0141681,60-64,98.07085,Male
pop,553502,60-64,2912878,Male
case of NMSC in 2010,0,60-64,163.9950314,Male
pop,684618,60-64,3571886,Male
case of NMSC in 2011,0,60-64,193.9534098,Male
pop,994252,60-64,5083547,Male
case of NMSC in 2012,1.988504,60-64,302.9794012,Male
pop,1120183,60-64,6143354,Male
case of NMSC in 2013,1.0081647,60-64,318.8400726,Male
pop,1492182,60-64,8078525,Male
case of NMSC in 2014,0,60-64,463.707335,Male
pop,1603833,60-64,9374709,Male
case of NMSC in 2015,0.9622998,60-64,464.9855664,Male
pop,2027078,60-64,11431650,Male
case of NMSC in 2016,4.054156,60-64,610.45011,Male
pop,2465356,60-64,13250102,Male
case of NMSC in 2017,0,60-64,742.005712,Male
pop,2831943,60-64,15772987,Male
case of NMSC in 2018,1.9823601,60-64,903.7921551,Male
Incident of NMSC in 2005,0,65-69,7.16,Male
Incident of NMSC in 2006,0.52,65-69,6.61,Male
Incident of NMSC in 2007,0,65-69,6.69,Male
Incident of NMSC in 2008,0,65-69,7.5,Male
Incident of NMSC in 2009,0.31,65-69,6.52,Male
Incident of NMSC in 2010,0,65-69,7.05,Male
Incident of NMSC in 2011,0,65-69,7.42,Male
Incident of NMSC in 2012,0.2,65-69,8.06,Male
Incident of NMSC in 2013,0.09,65-69,7.21,Male
Incident of NMSC in 2014,0,65-69,7.63,Male
Incident of NMSC in 2015,0.06,65-69,7.71,Male
Incident of NMSC in 2016,0.2,65-69,7.77,Male
Incident of NMSC in 2017,0,65-69,7.86,Male
Incident of NMSC in 2018,0.07,65-69,8.28,Male
Incident of NMSC in 2018,0-,65-69,65-69,Male
pop,173406,65-69,991763,Male
case of NMSC in 2005,0,65-69,71.0102308,Male
pop,192243,65-69,1058385,Male
case of NMSC in 2006,0.9996636,65-69,69.9592485,Male
pop,214585,65-69,1046599,Male
case of NMSC in 2007,0,65-69,70.0174731,Male
