Category,Variable,Measure,Value,Group
case of NMSC in 2006,0.9903762,45-49,58.1174622,National
pop,406298,45-49,4920675,National
case of NMSC in 2007,0,45-49,70.85772,National
pop,435222,45-49,5690334,National
case of NMSC in 2008,1.0010106,45-49,76.2504756,National
pop,620042,45-49,7354331,National
case of NMSC in 2009,0.9920672,45-49,80.897641,National
pop,1039937,45-49,10700624,National
case of NMSC in 2010,0,45-49,125.1973008,National
pop,1296974,45-49,12629340,National
case of NMSC in 2011,0,45-49,150.289146,National
pop,1876699,45-49,17092061,National
case of NMSC in 2012,3.9410679,45-49,254.6717089,National
pop,2111613,45-49,19593179,National
case of NMSC in 2013,1.0558065,45-49,227.2808764,National
pop,2814044,45-49,24871943,National
case of NMSC in 2014,0,45-49,300.9505103,National
pop,3019983,45-49,28165992,National
case of NMSC in 2015,0.9059949,45-49,368.9744952,National
pop,3815719,45-49,34173467,National
case of NMSC in 2016,8.0130099,45-49,410.081604,National
pop,4653648,45-49,39300205,National
case of NMSC in 2017,2.7921888,45-49,526.622747,National
pop,5351889,45-49,46480021,National
case of NMSC in 2018,4.8167001,45-49,613.5362772,National
Incident of NMSC in 2005,0,50-54,1.81,National
Incident of NMSC in 2006,0.27,50-54,2.04,National
Incident of NMSC in 2007,0,50-54,2.22,National
Incident of NMSC in 2008,0.23,50-54,2.25,National
Incident of NMSC in 2009,0.16,50-54,1.76,National
Incident of NMSC in 2010,0,50-54,1.69,National
Incident of NMSC in 2011,0,50-54,1.87,National
Incident of NMSC in 2012,0.21,50-54,2.11,National
Incident of NMSC in 2013,0.05,50-54,1.76,National
Incident of NMSC in 2014,0,50-54,1.96,National
Incident of NMSC in 2015,0.03,50-54,1.93,National
Incident of NMSC in 2016,0.21,50-54,2.29,National
Incident of NMSC in 2017,0.06,50-54,2.31,National
Incident of NMSC in 2018,0.09,50-54,2.28,National
Incident of NMSC in 2018,0-,50-54,50-54,National
pop,328711,50-54,4093564,National
