Category,Variable,Measure,Value,Group
case of NMSC in 2008,0.9933144,50-54,110.8605609,Urban
pop,384131,50-54,4766326,Urban
case of NMSC in 2009,0.9987406,50-54,89.1302962,Urban
pop,595402,50-54,6244556,Urban
case of NMSC in 2010,0,50-54,121.768842,Urban
pop,688959,50-54,6577453,Urban
case of NMSC in 2011,0,50-54,119.0518993,Urban
pop,841767,50-54,7386623,Urban
case of NMSC in 2012,2.0202408,50-54,175.8016274,Urban
pop,923346,50-54,8401497,Urban
case of NMSC in 2013,1.0156806,50-54,161.3087424,Urban
pop,1275248,50-54,10961070,Urban
case of NMSC in 2014,0,50-54,245.527968,Urban
pop,1352817,50-54,12160461,Urban
case of NMSC in 2015,0,50-54,272.3943264,Urban
pop,1851490,50-54,14778468,Urban
case of NMSC in 2016,4.073278,50-54,399.018636,Urban
pop,2253504,50-54,16323797,Urban
case of NMSC in 2017,0.9014016,50-54,403.1977859,Urban
pop,2408681,50-54,17586441,Urban
case of NMSC in 2018,1.9269448,50-54,376.3498374,Urban
Incident of NMSC in 2005,0,55-59,3.18,Urban
Incident of NMSC in 2006,0,55-59,2.78,Urban
Incident of NMSC in 2007,0,55-59,3.54,Urban
Incident of NMSC in 2008,0.31,55-59,3.92,Urban
Incident of NMSC in 2009,0.26,55-59,3.15,Urban
Incident of NMSC in 2010,0,55-59,3.1,Urban
Incident of NMSC in 2011,0,55-59,3.43,Urban
Incident of NMSC in 2012,0.24,55-59,3.47,Urban
Incident of NMSC in 2013,0.11,55-59,3.24,Urban
Incident of NMSC in 2014,0,55-59,3.06,Urban
Incident of NMSC in 2015,0,55-59,3.68,Urban
Incident of NMSC in 2016,0.22,55-59,3.05,Urban
Incident of NMSC in 2017,0.04,55-59,3.12,Urban
Incident of NMSC in 2018,0.08,55-59,3.32,Urban
Incident of NMSC in 2018,0-,55-59,55-59,Urban
pop,196647,55-59,2170410,Urban
case of NMSC in 2005,0,55-59,69.019038,Urban
pop,246212,55-59,2590995,Urban
case of NMSC in 2006,0,55-59,72.029661,Urban
pop,256582,55-59,2625116,Urban
case of NMSC in 2007,0,55-59,92.9291064,Urban
pop,320424,55-59,3392635,Urban
case of NMSC in 2008,0.9933144,55-59,132.991292,Urban
pop,384131,55-59,3867286,Urban
case of NMSC in 2009,0.9987406,55-59,121.819509,Urban
pop,595402,55-59,5491662,Urban
case of NMSC in 2010,0,55-59,170.241522,Urban
pop,688959,55-59,6412883,Urban
case of NMSC in 2011,0,55-59,219.9618869,Urban
pop,841767,55-59,7729168,Urban
case of NMSC in 2012,2.0202408,55-59,268.2021296,Urban
pop,923346,55-59,8772903,Urban
case of NMSC in 2013,1.0156806,55-59,284.2420572,Urban
pop,1275248,55-59,10631745,Urban
case of NMSC in 2014,0,55-59,325.331397,Urban
pop,1352817,55-59,10880355,Urban
case of NMSC in 2015,0,55-59,400.397064,Urban
pop,1851490,55-59,13071712,Urban
case of NMSC in 2016,4.073278,55-59,398.687216,Urban
pop,2253504,55-59,13891567,Urban
case of NMSC in 2017,0.9014016,55-59,433.4168904,Urban
pop,2408681,55-59,15765361,Urban
case of NMSC in 2018,1.9269448,55-59,523.4099852,Urban
Incident of NMSC in 2005,0,60-64,4.68,Urban
Incident of NMSC in 2006,0,60-64,4.32,Urban
Incident of NMSC in 2007,0,60-64,4.55,Urban
Incident of NMSC in 2008,0.31,60-64,5.33,Urban
Incident of NMSC in 2009,0.26,60-64,4.93,Urban
Incident of NMSC in 2010,0,60-64,5.08,Urban
Incident of NMSC in 2011,0,60-64,5.16,Urban
Incident of NMSC in 2012,0.24,60-64,5.46,Urban
Incident of NMSC in 2013,0.11,60-64,5.13,Urban
Incident of NMSC in 2014,0,60-64,5.98,Urban
